,user_id,group,decision_rank,decision,left_age,right_age,left_dependents,right_dependents,left_drinking,right_drinking
116,6,nocf,12,0,1,2,2,0,0,0
117,2,cf,15,0,1,0,2,0,0,0
118,8,nocf,6,1,1,1,0,0,2,0
119,7,nocf,6,1,1,1,0,0,2,0
120,6,nocf,13,1,1,1,1,2,0,0
121,9,nocf,10,1,1,1,1,2,2,2
122,6,nocf,14,0,1,1,2,2,1,2
123,10,cf,9,0,1,1,1,2,1,2
124,14,cf,3,0,1,1,0,0,0,1
125,4,cf,13,2,1,1,1,2,0,0
126,3,cf,15,0,1,0,2,0,0,0
127,6,nocf,15,0,1,0,2,0,0,0
128,10,cf,10,2,1,1,1,2,2,2
129,9,nocf,12,0,1,2,2,0,0,0
130,12,cf,6,2,1,1,0,0,2,0
131,13,cf,5,2,2,1,0,0,2,2
132,4,cf,15,0,1,0,2,0,0,0
133,12,cf,7,1,2,2,0,2,2,2
134,13,cf,7,1,2,2,0,2,2,2
135,9,nocf,15,1,1,0,2,0,0,0
136,10,cf,14,0,1,1,2,2,1,2
137,14,cf,6,1,1,1,0,0,2,0
138,11,nocf,10,1,1,1,1,2,2,2
139,8,nocf,9,0,1,1,1,2,1,2
140,15,cf,1,2,0,1,0,0,0,0
141,10,cf,15,1,1,0,2,0,0,0
142,14,cf,7,1,2,2,0,2,2,2
143,11,nocf,11,1,2,0,2,0,2,0
144,16,cf,1,0,0,1,0,0,0,0
145,8,nocf,10,1,1,1,1,2,2,2
146,13,cf,9,0,1,1,1,2,1,2
147,11,nocf,12,0,1,2,2,0,0,0
148,13,cf,11,1,2,0,2,0,2,0
149,7,nocf,5,0,2,1,0,0,2,2
150,9,nocf,8,0,1,1,0,0,2,0
151,4,cf,11,2,2,0,2,0,2,0
152,11,nocf,7,1,2,2,0,2,2,2
153,3,cf,13,1,1,1,1,2,0,0
154,9,nocf,9,0,1,1,1,2,1,2
155,12,cf,5,1,2,1,0,0,2,2
156,13,cf,4,1,4,1,0,0,0,2
157,10,cf,8,1,1,1,0,0,2,0
158,4,cf,12,0,1,2,2,0,0,0
159,3,cf,14,0,1,1,2,2,1,2
160,9,nocf,11,1,2,0,2,0,2,0
161,4,cf,14,2,1,1,2,2,1,2
162,7,nocf,7,1,2,2,0,2,2,2
163,14,cf,4,1,4,1,0,0,0,2
164,8,nocf,7,0,2,2,0,2,2,2
165,11,nocf,8,0,1,1,0,0,2,0
166,10,cf,11,1,2,0,2,0,2,0
167,9,nocf,13,1,1,1,1,2,0,0
168,13,cf,6,1,1,1,0,0,2,0
169,10,cf,12,0,1,2,2,0,0,0
170,11,nocf,9,0,1,1,1,2,1,2
171,9,nocf,14,0,1,1,2,2,1,2
172,14,cf,5,1,2,1,0,0,2,2
173,8,nocf,8,0,1,1,0,0,2,0
174,7,nocf,8,0,1,1,0,0,2,0
175,10,cf,13,2,1,1,1,2,0,0
176,17,cf,1,0,0,1,0,0,0,0
177,13,cf,8,0,1,1,0,0,2,0
178,17,cf,2,0,0,2,0,0,0,0
179,7,nocf,9,0,1,1,1,2,1,2
180,12,cf,8,0,1,1,0,0,2,0
181,17,cf,3,0,1,1,0,0,0,1
182,18,cf,1,2,0,1,0,0,0,0
183,13,cf,10,1,1,1,1,2,2,2
184,14,cf,8,0,1,1,0,0,2,0
185,7,nocf,10,1,1,1,1,2,2,2
186,8,nocf,11,1,2,0,2,0,2,0
187,17,cf,4,1,4,1,0,0,0,2
188,15,cf,2,2,0,2,0,0,0,0
189,11,nocf,13,1,1,1,1,2,0,0
190,8,nocf,12,0,1,2,2,0,0,0
191,13,cf,12,0,1,2,2,0,0,0
192,11,nocf,14,0,1,1,2,2,1,2
193,7,nocf,11,0,2,0,2,0,2,0
